Fold,AUROC,AUPR,TSS,precision_mean,recall_mean,f1_score_mean,precision_0.5,recall_0.5,f1_score_0.5,seed
1,0.51568073560213,0.007984496569064178,0.038668137208163866,"[0.007663794830695251, 0.00779246016323358, 0.007744080441128771, 0.007803208913184085, 0.007858210548793508, 0.007930801577445148, 0.007821674680374908, 0.007878269481834961, 0.007807149705519792, 0.007771481438649242, 0.007804626526355263, 0.00790316838732645, 0.00794546196500156, 0.007872485178345805, 0.007855073886788747, 0.00791131392292049, 0.007870265934782064, 0.007906139928540659, 0.00793854033290653, 0.00796874595741378, 0.007967398970768789, 0.008025131332330192, 0.00807182055517076, 0.008104906026172653, 0.008161044613710556, 0.008148657949070888, 0.008185310986135086, 0.008132140244245595, 0.008112955108315067, 0.00809518322194054, 0.00804547442063839, 0.008052859797646087, 0.008061145279751597, 0.008077202323330106, 0.008040509436857449, 0.00806250778234342, 0.008152689123427922, 0.00809274543177366, 0.008105899656806668, 0.008035476126967192, 0.008062047147668129, 0.008109425031323959, 0.007999428612241982, 0.007820531649287707, 0.0078871530411042, 0.007779796224626807, 0.008044451816221595, 0.007965306664306575, 0.008003104234369694, 0.007807118254879449, 0.0]",0.545691986738927,,0.008148657949070888,0.644880174291939,0.2900228805609563,7514098
sas,0.47645653569136415,0.01814373138311233,-0.0729159238394066,"[0.019151138716356108, 0.018323820967257435, 0.018553459119496855, 0.01814646791963707, 0.018617021276595744, 0.019034670292318152, 0.019377162629757784, 0.01927795303189625, 0.019230769230769232, 0.01945945945945946, 0.019715224534501644, 0.01960059171597633, 0.01936685288640596, 0.019201807228915662, 0.018631178707224333, 0.018383761011106857, 0.017815646785437646, 0.01794071762870515, 0.01807465618860511, 0.017871326449563147, 0.01765650080256822, 0.017849898580121704, 0.017220172201722016, 0.01739850869925435, 0.017169179229480736, 0.016913319238900635, 0.017094017094017096, 0.01730103806228374, 0.017528483786152498, 0.0176678445229682, 0.01740294511378849, 0.017639077340569877, 0.017800091282519397, 0.018055555555555554, 0.018275538894095594, 0.01864244741873805, 0.018410852713178296, 0.017786561264822136, 0.017658930373360242, 0.017480719794344474, 0.0178103719224725, 0.01769436997319035, 0.018141836173721827, 0.018130311614730877, 0.01816051552431166, 0.0182370820668693, 0.017197452229299363, 0.017711171662125342, 0.015753938484621154, 0.016903914590747332, 0.0]",0.480950532778209,,0.016913319238900635,0.5405405405405406,0.2933901432037576,7514098
1,0.5002250570725602,0.00748361269333383,-0.015946115629298152,"[0.007663794830695251, 0.007724783835106285, 0.007806295399515739, 0.007839422825013603, 0.007953528076786941, 0.007906916945230135, 0.007899137475796516, 0.0077634845407357255, 0.007775726811259806, 0.007690130213247783, 0.007712330087727755, 0.0075591559352916554, 0.007586795960407978, 0.007612066535100085, 0.007627406420604446, 0.007599189419795222, 0.007617803895962564, 0.007597182942383408, 0.0077127359023618485, 0.0076936376210235136, 0.007645934421408616, 0.007625566663664475, 0.007677719319711244, 0.007681978577897136, 0.007651597270930306, 0.007427193954003518, 0.007446560952096008, 0.007432042623952218, 0.007534722222222222, 0.0074239840863881785, 0.0074849211539859024, 0.007595785083963213, 0.007682898860943353, 0.007623688450504971, 0.007682354843926896, 0.0077212020033388985, 0.007725840562821011, 0.007733571747876621, 0.007911904872067737, 0.007875918051797449, 0.007890743550834597, 0.007803790412486065, 0.0077501965629563066, 0.0076872259924328865, 0.007813508975849153, 0.0074805928016937195, 0.007602476683125637, 0.007177902962020716, 0.006326968704101232, 0.0068128946493851775, 0]",0.5014448451260596,,0.007427193954003518,0.49673202614379086,0.3341143521138021,7505184
sas,0.49702631391285745,0.019392935553503354,0.008443271767810012,"[0.019151138716356108, 0.01845444059976932, 0.018603232692894173, 0.018147086914995225, 0.018121911037891267, 0.01864406779661017, 0.01842837273991655, 0.018233821952091528, 0.01867447821310875, 0.0192090395480226, 0.018970189701897018, 0.019390581717451522, 0.01978998384491115, 0.020131470829909615, 0.020227560050568902, 0.019313304721030045, 0.019745502413339184, 0.019265232974910396, 0.019688644688644688, 0.018561484918793503, 0.01893939393939394, 0.01933301111648139, 0.019772614928324272, 0.019240506329113925, 0.019082001031459517, 0.019473684210526317, 0.01829924650161464, 0.01808219178082192, 0.01864406779661017, 0.019042123485285632, 0.019013666072489603, 0.019619865113427344, 0.018999366687777075, 0.018360655737704918, 0.019021739130434784, 0.018960674157303372, 0.01888162672476398, 0.019461077844311378, 0.020046260601387818, 0.020883534136546186, 0.020219039595619208, 0.021314387211367674, 0.02149532710280374, 0.021021021021021023, 0.020787746170678335, 0.019184652278177457, 0.020463847203274217, 0.01935483870967742, 0.02040816326530612, 0.02108433734939759, 0]",0.49718818197079073,,0.019473684210526317,0.5,0.35364113031452676,7505184
1,0.5002250570725602,0.00748361269333383,-0.015946115629298152,"[0.007663794830695251, 0.007724783835106285, 0.007806295399515739, 0.007839422825013603, 0.007953528076786941, 0.007906916945230135, 0.007899137475796516, 0.0077634845407357255, 0.007775726811259806, 0.007690130213247783, 0.007712330087727755, 0.0075591559352916554, 0.007586795960407978, 0.007612066535100085, 0.007627406420604446, 0.007599189419795222, 0.007617803895962564, 0.007597182942383408, 0.0077127359023618485, 0.0076936376210235136, 0.007645934421408616, 0.007625566663664475, 0.007677719319711244, 0.007681978577897136, 0.007651597270930306, 0.007427193954003518, 0.007446560952096008, 0.007432042623952218, 0.007534722222222222, 0.0074239840863881785, 0.0074849211539859024, 0.007595785083963213, 0.007682898860943353, 0.007623688450504971, 0.007682354843926896, 0.0077212020033388985, 0.007725840562821011, 0.007733571747876621, 0.007911904872067737, 0.007875918051797449, 0.007890743550834597, 0.007803790412486065, 0.0077501965629563066, 0.0076872259924328865, 0.007813508975849153, 0.0074805928016937195, 0.007602476683125637, 0.007177902962020716, 0.006326968704101232, 0.0068128946493851775, 0]",0.5014448451260596,,0.007427193954003518,0.49673202614379086,0.3341143521138021,7505184
sas,0.49702631391285745,0.019392935553503354,0.008443271767810012,"[0.019151138716356108, 0.01845444059976932, 0.018603232692894173, 0.018147086914995225, 0.018121911037891267, 0.01864406779661017, 0.01842837273991655, 0.018233821952091528, 0.01867447821310875, 0.0192090395480226, 0.018970189701897018, 0.019390581717451522, 0.01978998384491115, 0.020131470829909615, 0.020227560050568902, 0.019313304721030045, 0.019745502413339184, 0.019265232974910396, 0.019688644688644688, 0.018561484918793503, 0.01893939393939394, 0.01933301111648139, 0.019772614928324272, 0.019240506329113925, 0.019082001031459517, 0.019473684210526317, 0.01829924650161464, 0.01808219178082192, 0.01864406779661017, 0.019042123485285632, 0.019013666072489603, 0.019619865113427344, 0.018999366687777075, 0.018360655737704918, 0.019021739130434784, 0.018960674157303372, 0.01888162672476398, 0.019461077844311378, 0.020046260601387818, 0.020883534136546186, 0.020219039595619208, 0.021314387211367674, 0.02149532710280374, 0.021021021021021023, 0.020787746170678335, 0.019184652278177457, 0.020463847203274217, 0.01935483870967742, 0.02040816326530612, 0.02108433734939759, 0]",0.49718818197079073,,0.019473684210526317,0.5,0.35364113031452676,7505184
1,0.5002250570725602,0.00748361269333383,-0.015946115629298152,"[0.007663794830695251, 0.007724783835106285, 0.007806295399515739, 0.007839422825013603, 0.007953528076786941, 0.007906916945230135, 0.007899137475796516, 0.0077634845407357255, 0.007775726811259806, 0.007690130213247783, 0.007712330087727755, 0.0075591559352916554, 0.007586795960407978, 0.007612066535100085, 0.007627406420604446, 0.007599189419795222, 0.007617803895962564, 0.007597182942383408, 0.0077127359023618485, 0.0076936376210235136, 0.007645934421408616, 0.007625566663664475, 0.007677719319711244, 0.007681978577897136, 0.007651597270930306, 0.007427193954003518, 0.007446560952096008, 0.007432042623952218, 0.007534722222222222, 0.0074239840863881785, 0.0074849211539859024, 0.007595785083963213, 0.007682898860943353, 0.007623688450504971, 0.007682354843926896, 0.0077212020033388985, 0.007725840562821011, 0.007733571747876621, 0.007911904872067737, 0.007875918051797449, 0.007890743550834597, 0.007803790412486065, 0.0077501965629563066, 0.0076872259924328865, 0.007813508975849153, 0.0074805928016937195, 0.007602476683125637, 0.007177902962020716, 0.006326968704101232, 0.0068128946493851775, 0]",0.5014448451260596,,0.007427193954003518,0.49673202614379086,0.3341143521138021,7505184
sas,0.49702631391285745,0.019392935553503354,0.008443271767810012,"[0.019151138716356108, 0.01845444059976932, 0.018603232692894173, 0.018147086914995225, 0.018121911037891267, 0.01864406779661017, 0.01842837273991655, 0.018233821952091528, 0.01867447821310875, 0.0192090395480226, 0.018970189701897018, 0.019390581717451522, 0.01978998384491115, 0.020131470829909615, 0.020227560050568902, 0.019313304721030045, 0.019745502413339184, 0.019265232974910396, 0.019688644688644688, 0.018561484918793503, 0.01893939393939394, 0.01933301111648139, 0.019772614928324272, 0.019240506329113925, 0.019082001031459517, 0.019473684210526317, 0.01829924650161464, 0.01808219178082192, 0.01864406779661017, 0.019042123485285632, 0.019013666072489603, 0.019619865113427344, 0.018999366687777075, 0.018360655737704918, 0.019021739130434784, 0.018960674157303372, 0.01888162672476398, 0.019461077844311378, 0.020046260601387818, 0.020883534136546186, 0.020219039595619208, 0.021314387211367674, 0.02149532710280374, 0.021021021021021023, 0.020787746170678335, 0.019184652278177457, 0.020463847203274217, 0.01935483870967742, 0.02040816326530612, 0.02108433734939759, 0]",0.49718818197079073,,0.019473684210526317,0.5,0.35364113031452676,7505184
49,0.6287315123473897,0.011733835804497616,0.18422361316761648,0.010771622451813538,0.6282299446872988,,0.009968145869947275,0.7908496732026143,0.29183473203485305,7505184
99,0.698393686081543,0.05592596234774877,0.23495136676587736,0.016630939052091193,0.6969515085517557,0.028519607579421385,0.015706019388291876,0.4553376906318083,0.4522295714376365,7505184
1,0.5110474840838954,0.007803453698575542,0.015134632546128124,"[0.007663922793074085, 0.00784313725490196, 0.00784313725490196, 0.00781328459236347, 0.007783948960419548, 0.007810520982859073, 0.007766152518606407, 0.007766093193118317, 0.007798319327731093, 0.0076647580810730665, 0.007699621976390918, 0.007772569894245943, 0.007825025724472948, 0.007723320542089668, 0.007619658225038838, 0.007506943923128894, 0.007521662897364877, 0.007500579941748073, 0.0075024834004287135, 0.007555272785112136, 0.007610595670297163, 0.007642964378326737, 0.007755588178267734, 0.007763057969791579, 0.007800668628739607, 0.007863962160123038, 0.007895589665026662, 0.007968366185369362, 0.008074344911639244, 0.008122016244032488, 0.008084380723804711, 0.008009263726720062, 0.007889481782171736, 0.00782320885293036, 0.007897165908857817, 0.00790182161462886, 0.007890961262553802, 0.007909355111650664, 0.007977617301221217, 0.008150372421323559, 0.008182844243792325, 0.00827932260087811, 0.008095756256800871, 0.008200829194951935, 0.00820107096338463, 0.008357839343754836, 0.008264462809917356, 0.008336443946746298, 0.008077544426494346, 0.007574267165060004, 0]",0.5150206861626212,,0.007863962160123038,0.5904139433551199,0.30520821649044494,7505184
sas,0.4837196035085218,0.018702710263880692,-0.0028809812450973915,"[0.019151138716356108, 0.02005156115726153, 0.019542994588093807, 0.019613947696139476, 0.01914486279514997, 0.019588638589618023, 0.01972584419926446, 0.020040760869565216, 0.01937046004842615, 0.019725255371609723, 0.01968503937007874, 0.019643506729719897, 0.019578869597340228, 0.01957094467444486, 0.019870080244554833, 0.019058732010890703, 0.01937524713325425, 0.019662921348314606, 0.019160211985324093, 0.019405450041288193, 0.019271051529116047, 0.01962457337883959, 0.01955671447196871, 0.018461538461538463, 0.01879194630872483, 0.019056261343012703, 0.019363762102351315, 0.018726591760299626, 0.01859799713876967, 0.018455560951918408, 0.018280632411067192, 0.017552657973921765, 0.01680244399185336, 0.01717855283706403, 0.017057569296375266, 0.015786608600979857, 0.015598885793871866, 0.016036655211912942, 0.01647058823529412, 0.01567209162145871, 0.014962593516209476, 0.014819587628865979, 0.015561569688768605, 0.016231474947071278, 0.017037037037037038, 0.012698412698412698, 0.013805004314063849, 0.014218009478672985, 0.015730337078651686, 0.016819571865443424, 0]",0.48448448448448456,,0.019056261343012703,0.5675675675675675,0.3171528219667985,7505184
1,0.5110474840838954,0.007803453698575542,0.015134632546128124,"[0.007663922793074085, 0.00784313725490196, 0.00784313725490196, 0.00781328459236347, 0.007783948960419548, 0.007810520982859073, 0.007766152518606407, 0.007766093193118317, 0.007798319327731093, 0.0076647580810730665, 0.007699621976390918, 0.007772569894245943, 0.007825025724472948, 0.007723320542089668, 0.007619658225038838, 0.007506943923128894, 0.007521662897364877, 0.007500579941748073, 0.0075024834004287135, 0.007555272785112136, 0.007610595670297163, 0.007642964378326737, 0.007755588178267734, 0.007763057969791579, 0.007800668628739607, 0.007863962160123038, 0.007895589665026662, 0.007968366185369362, 0.008074344911639244, 0.008122016244032488, 0.008084380723804711, 0.008009263726720062, 0.007889481782171736, 0.00782320885293036, 0.007897165908857817, 0.00790182161462886, 0.007890961262553802, 0.007909355111650664, 0.007977617301221217, 0.008150372421323559, 0.008182844243792325, 0.00827932260087811, 0.008095756256800871, 0.008200829194951935, 0.00820107096338463, 0.008357839343754836, 0.008264462809917356, 0.008336443946746298, 0.008077544426494346, 0.007574267165060004, 0]",0.5150206861626212,,0.007863962160123038,0.5904139433551199,0.30520821649044494,7505184
sas,0.4837196035085218,0.018702710263880692,-0.0028809812450973915,"[0.019151138716356108, 0.02005156115726153, 0.019542994588093807, 0.019613947696139476, 0.01914486279514997, 0.019588638589618023, 0.01972584419926446, 0.020040760869565216, 0.01937046004842615, 0.019725255371609723, 0.01968503937007874, 0.019643506729719897, 0.019578869597340228, 0.01957094467444486, 0.019870080244554833, 0.019058732010890703, 0.01937524713325425, 0.019662921348314606, 0.019160211985324093, 0.019405450041288193, 0.019271051529116047, 0.01962457337883959, 0.01955671447196871, 0.018461538461538463, 0.01879194630872483, 0.019056261343012703, 0.019363762102351315, 0.018726591760299626, 0.01859799713876967, 0.018455560951918408, 0.018280632411067192, 0.017552657973921765, 0.01680244399185336, 0.01717855283706403, 0.017057569296375266, 0.015786608600979857, 0.015598885793871866, 0.016036655211912942, 0.01647058823529412, 0.01567209162145871, 0.014962593516209476, 0.014819587628865979, 0.015561569688768605, 0.016231474947071278, 0.017037037037037038, 0.012698412698412698, 0.013805004314063849, 0.014218009478672985, 0.015730337078651686, 0.016819571865443424, 0]",0.48448448448448456,,0.019056261343012703,0.5675675675675675,0.3171528219667985,7505184
1,0.5110474840838954,0.007803453698575542,0.015134632546128124,"[0.007663922793074085, 0.00784313725490196, 0.00784313725490196, 0.00781328459236347, 0.007783948960419548, 0.007810520982859073, 0.007766152518606407, 0.007766093193118317, 0.007798319327731093, 0.0076647580810730665, 0.007699621976390918, 0.007772569894245943, 0.007825025724472948, 0.007723320542089668, 0.007619658225038838, 0.007506943923128894, 0.007521662897364877, 0.007500579941748073, 0.0075024834004287135, 0.007555272785112136, 0.007610595670297163, 0.007642964378326737, 0.007755588178267734, 0.007763057969791579, 0.007800668628739607, 0.007863962160123038, 0.007895589665026662, 0.007968366185369362, 0.008074344911639244, 0.008122016244032488, 0.008084380723804711, 0.008009263726720062, 0.007889481782171736, 0.00782320885293036, 0.007897165908857817, 0.00790182161462886, 0.007890961262553802, 0.007909355111650664, 0.007977617301221217, 0.008150372421323559, 0.008182844243792325, 0.00827932260087811, 0.008095756256800871, 0.008200829194951935, 0.00820107096338463, 0.008357839343754836, 0.008264462809917356, 0.008336443946746298, 0.008077544426494346, 0.007574267165060004, 0]",0.5150206861626212,,0.007863962160123038,0.5904139433551199,0.30520821649044494,7505184
sas,0.4837196035085218,0.018702710263880692,-0.0028809812450973915,"[0.019151138716356108, 0.02005156115726153, 0.019542994588093807, 0.019613947696139476, 0.01914486279514997, 0.019588638589618023, 0.01972584419926446, 0.020040760869565216, 0.01937046004842615, 0.019725255371609723, 0.01968503937007874, 0.019643506729719897, 0.019578869597340228, 0.01957094467444486, 0.019870080244554833, 0.019058732010890703, 0.01937524713325425, 0.019662921348314606, 0.019160211985324093, 0.019405450041288193, 0.019271051529116047, 0.01962457337883959, 0.01955671447196871, 0.018461538461538463, 0.01879194630872483, 0.019056261343012703, 0.019363762102351315, 0.018726591760299626, 0.01859799713876967, 0.018455560951918408, 0.018280632411067192, 0.017552657973921765, 0.01680244399185336, 0.01717855283706403, 0.017057569296375266, 0.015786608600979857, 0.015598885793871866, 0.016036655211912942, 0.01647058823529412, 0.01567209162145871, 0.014962593516209476, 0.014819587628865979, 0.015561569688768605, 0.016231474947071278, 0.017037037037037038, 0.012698412698412698, 0.013805004314063849, 0.014218009478672985, 0.015730337078651686, 0.016819571865443424, 0]",0.48448448448448456,,0.019056261343012703,0.5675675675675675,0.3171528219667985,7505184
